YearBuilt,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ProportionParkingGFA,ProportionElectricity(kBtu),ProportionNaturalGas(kBtu),ProportionSteamUse(kBtu),Distribution Center,Hospital,Hotel,K-12 School,Laboratory,Large Office,Medical Office,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Small- and Mid-Sized Office,Supermarket / Grocery Store,University,Warehouse,Worship Facility
85,12,88434,60.0,7456910.0,249.98,2.83,0.0,0.546059929874816,0.1766383848028659,0.277301616131214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,11,103566,61.0,8664479.0,295.86,2.86,0.1454531409922175,0.38660907281925116,0.6133909271807488,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,10,61320,56.0,6946800.5,286.43,4.67,0.0,0.40751928300540546,0.2665671658485641,0.32591344076399675,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,18,175580,75.0,14656503.0,505.01,2.88,0.3531153889964688,0.3788016826263286,0.6211982468150177,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,97288,73.0,12581712.0,301.81,3.1,0.382349313378834,0.609884023783001,0.39011597621699906,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,11,83008,27.0,6062767.5,176.14,2.12,0.0,0.4881602835315374,0.5118397164684626,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,8,102761,73.0,7067881.5,221.51,2.16,0.0,0.5774180802671396,0.061159250168085565,0.36142251078752485,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,15,163984,43.0,14194054.0,392.16,2.39,0.0,0.5317702359838588,0.4682296911501317,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,11,153163,30.0,16646930.0,691.26,4.51,0.12587243655452035,0.386324813113159,0.2866923932379342,0.32698269999632884,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,9,65009,48.0,6358719.5,328.23,5.05,0.0,0.2036064725027033,0.5452810258248961,0.2511125016724005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
